"","ProductName","reviewers","star_rates","date_of_review","text_review"
"29","GTPLAYER Gaming Chair, Computer Chair with Footrest and Lumbar Support, Height Adjustable Game Chair with 360°-Swivel Seat and Headrest and for Office or Gaming (White)","Keri Walker","4.0 out of 5 stars","March 5, 2024","







  
  
    Have used the chair for a day now after building it, and I am pleased with the overall function especially for the price. It’s is not the best chair in the world, but it is a very good chair and a comfortable one. It reclines far enough to take a nap in with the foot rest, and a vibrating pillow on your lower back. The pillow on top for your neck is tops off making this chair very comfortable.I would highly recommend this chair if you need an above average office chair that’s not going to break your bank. for the price it’s excellent. Building it was easy too and not long, 45-1 hr and it a a short hour. Easy instructions as well.I will say if you are a heavier person I feel like this chair won’t support you as well, at least the foot rest . It says 250lb limit and beileive it’s because of the foot rest as it’s not held in the trails at multiple points, just one screw. Keeps it from sliding forward. Luckily Im I on The lighter side so the foot rest has been my favorite part
  
"
"30","GTPLAYER Gaming Chair, Computer Chair with Footrest and Lumbar Support, Height Adjustable Game Chair with 360°-Swivel Seat and Headrest and for Office or Gaming (White)","Edward","5.0 out of 5 stars","March 9, 2024","







  
  
    I wanted to wait a week before I did my review and here are my thoughts.  For the price, this is a great chair and I'd buy it again.  I work from home 80% of the time and also play Xbox at night in the same room so I use a chair A LOT.  Previously, I had a cheap desk chair from Amazon that I got in 2020 when the world shut down and we were all working from home.  I'll just do pros and cons:Pros:1. Easy to assemble.2. VERY sturdy chair.  Metal frame and smooth wheels, height and recline adjustments are very smooth and natural3. Vibrating lumbar pillow is a plus.4. Recline is great and feels sturdy.5. Nice to have a pull out footrest.6. Very large seat cushion.  I'm a small guy and can easily sit with my foot under my leg in like a ""4"" very comfortably.7. Cushions on the arms are soft and great for sitting all day.8. Every function is very smooth and feels very sturdy.9. They give you some extra parts.  I was actually missing a couple washers needed for assembly and found what I needed in the ""extra"" parts.10. Neck/head pillow is soft and comfortable.  It's very small but definitely standard for most of these gaming chairs.Cons:1. Seat cushion is NOT very soft.  In fact, it's a little too firm in my opinion.  I found sitting for long periods of time, my butt getting kind of uncomfortable.  I'm assuming over time it will get softer but I wish it had more of a memory foam type cushion on top of the foam.  I got a cheap memory foam cushion pad for my old chair and am actually using it on this one which does help, but then that also puts your position on the chair higher.  This in turn makes the lumbar pillow lower than it really should be.2. The leg rest comes out easy for me (saw some people having issues and you need to make sure the mounts are straight when assembling, they are adjustable as you tighten).  However, the way the leg rest flips out to use makes it very easy for it not to stay where it's supposed to be.  If you rest anything on the inside part of the leg rest, it's going to want to flip into it's storage position.  If you have your legs straight this is not an issue but I found this cumbersome at times.3. It gets kinda warm.  If you're sitting with shorts on or I would imagine if you didn't have a shirt on for some reason (don't know why you wouldn't but you do you), your skin with start to stick to it a bit.  Obviously it's not like getting into a hot car in the summer, but just something to think about.3. Being a shorter guy I wish it did go just a tiny bit lower.  My desk at home is even a little higher than some ""normal"" desks and it doesn't fit under the desk even in it's lowest position.  I can make it fit, but it scrapes the arm cushions a bit and I could see that ripping them in time.  Certainly not a deal-breaker, but if you're used to storing this under your desk, this may be an issue for you as well.4. For the vibrating pillow, you must be connected via USB to a power source.  I'm guessing you could use some type of battery pack but there's also no on/off, once you plug in you're on until you unplug.TL;DR: Great chair for the price.  Seat cushion could be softer imo but function/style/stability is on point.  Would definitely recommend if you're looking for a gaming chair and don't want to spend a lot of money.
  
"
"31","GTPLAYER Gaming Chair, Computer Chair with Footrest and Lumbar Support, Height Adjustable Game Chair with 360°-Swivel Seat and Headrest and for Office or Gaming (White)","Alex","4.0 out of 5 stars","January 26, 2024","







  
  
    I'm 200lb and 5'2. Mainly use this to sit to do homework or play games. Assembled this by myself. Connecting the top part of the chair to the bottom part is a .... but it would've been easier if I had someone to help me.Pros: color is cute, armrest can be used lying down on the chair, neck pillow and back pillow is comfy, back pillow can massage, footrest, chair is comfy on my butt(very important I had to buy a butt pillow for my last chair)can be improved: wish there was a royal blue or lighter blue option, the armrest can't be adjusted lower or higher( I prefer it to be a bit higher), no on/off button on the massage pillow
  
"
"32","GTPLAYER Gaming Chair, Computer Chair with Footrest and Lumbar Support, Height Adjustable Game Chair with 360°-Swivel Seat and Headrest and for Office or Gaming (White)","Wackiejackie222","5.0 out of 5 stars","April 5, 2024","







  
  
    It is comfy, and sturdy. Foot rest is nice,  but not a fan of the massage feature...
  
"
"33","GTPLAYER Gaming Chair, Computer Chair with Footrest and Lumbar Support, Height Adjustable Game Chair with 360°-Swivel Seat and Headrest and for Office or Gaming (White)","Wackiejackie222","5.0 out of 5 stars","April 2, 2024","







  
  
    I bought this chair a couple years ago, it is still together, and in use. I forgot to write a review. I ordered the black version.
  
"
"34","GTPLAYER Gaming Chair, Computer Chair with Footrest and Lumbar Support, Height Adjustable Game Chair with 360°-Swivel Seat and Headrest and for Office or Gaming (White)","Quite thicker than i thought, it isnt bad or good. They're cute and big. ","4.0 out of 5 stars","February 27, 2024","







  
  
    This chair would have been easier to put together if the screws would have been in easier packaging to open. The pictures are super small and once you get the screws out of the package it is hard to figure out which ones to use. Otherwise the chair was easy to assemble. It just took longer because of the packaging.
  
"
"35","GTPLAYER Gaming Chair, Computer Chair with Footrest and Lumbar Support, Height Adjustable Game Chair with 360°-Swivel Seat and Headrest and for Office or Gaming (White)","Crystal Withem","4.0 out of 5 stars","February 28, 2024","







  
  
    Not bad, quality fits the price, easy to assemble. The lumbar massage pillow is a simple vibration, nothing fancy but it does feel good after doing some deadlifts or fight sports. Took me about 40min to assemble myself. The fabric option would probably be easier to maintain, because the fuax leather gets marked easier with sweat, its easy to clean, but I'll probably have to do it often.
  
"
"36","GTPLAYER Gaming Chair, Computer Chair with Footrest and Lumbar Support, Height Adjustable Game Chair with 360°-Swivel Seat and Headrest and for Office or Gaming (White)","Kenneth Wolfley","5.0 out of 5 stars","April 7, 2024","







  
  
    put in living room with play station , looks really nice , bigger then i thought
  
"
"37","GTPLAYER Gaming Chair, Computer Chair with Footrest and Lumbar Support, Height Adjustable Game Chair with 360°-Swivel Seat and Headrest and for Office or Gaming (White)","ky","4.0 out of 5 stars","March 28, 2024","







  
  
    My only complaint, the height adjustment does not work. Otherwise it is quite comfortable.
  
"
"38","GTPLAYER Gaming Chair, Computer Chair with Footrest and Lumbar Support, Height Adjustable Game Chair with 360°-Swivel Seat and Headrest and for Office or Gaming (White)","Phoenix","5.0 out of 5 stars","March 6, 2024","







  
  
    My boyfriend and I both got these and they are great, they don't take up much space and the colors are really nice. Super simple assembly though it seems a little intimidating. The footrest is a game changer. My only critique would be the neck and lumbar pillows do need to be adjusted every time you sit or move off of them but, it only takes a second so it's not a huge deal.
  
"
"39","GTPLAYER Gaming Chair, Computer Chair with Footrest and Lumbar Support, Height Adjustable Game Chair with 360°-Swivel Seat and Headrest and for Office or Gaming (White)","Abby O'Hara","5.0 out of 5 stars","April 7, 2024","







  
  
    I got it for my boyfriend for Christmas and he absolutely loves it!
  
"
"40","GTPLAYER Gaming Chair, Computer Chair with Footrest and Lumbar Support, Height Adjustable Game Chair with 360°-Swivel Seat and Headrest and for Office or Gaming (White)","Evelin Aleman","5.0 out of 5 stars","March 26, 2024","







  
  
    I bought this for my son and he loves it . The comfortable chair was a good find . The colors look good together . Great Chair
  
"
"41","GTPLAYER Gaming Chair, Computer Chair with Footrest and Lumbar Support, Height Adjustable Game Chair with 360°-Swivel Seat and Headrest and for Office or Gaming (White)","Dean","5.0 out of 5 stars","April 5, 2024","







  
  
    Our grandson was totally surprised to receive this for his birthday gift!
  
"
"42","GTPLAYER Gaming Chair, Computer Chair with Footrest and Lumbar Support, Height Adjustable Game Chair with 360°-Swivel Seat and Headrest and for Office or Gaming (White)","A","4.0 out of 5 stars","March 12, 2024","







  
  
    Easy to assemble, comfortable enough to sit on, massage option is nice.It is not the most ergonomic chair out there but quite comfortable for the price range.
  
"
"43","GTPLAYER Gaming Chair, Computer Chair with Footrest and Lumbar Support, Height Adjustable Game Chair with 360°-Swivel Seat and Headrest and for Office or Gaming (White)","Chiffon cox","5.0 out of 5 stars","March 28, 2024","







  
  
    My son is 11 and if it can't deal with his roughness and still look good so happy about the purchase.
  
"
"44","GTPLAYER Gaming Chair, Computer Chair with Footrest and Lumbar Support, Height Adjustable Game Chair with 360°-Swivel Seat and Headrest and for Office or Gaming (White)","Jon Bennett jr","4.0 out of 5 stars","March 5, 2024","







  
  
    Worked well and comfortable enough for me to work 40 hours a week in. The footrest works great for a clingy WFH coworker too!  Standard looking wear and tear after a year as well.  Overall no complaints
  
"
"45","GTPLAYER Gaming Chair, Computer Chair with Footrest and Lumbar Support, Height Adjustable Game Chair with 360°-Swivel Seat and Headrest and for Office or Gaming (White)","Jon Bennett jr","5.0 out of 5 stars","March 20, 2024","







  
  
    I like the design cause it works well with my back problems. I just wish they could have speakers in it as well as the back massager that came with it
  
"
"46","GTPLAYER Gaming Chair, Computer Chair with Footrest and Lumbar Support, Height Adjustable Game Chair with 360°-Swivel Seat and Headrest and for Office or Gaming (White)","Satou","5.0 out of 5 stars","February 22, 2024","







  
  
    Now I was super excited to receive this chair I ordered for My Son . It came a day early. God bless the delivery man who brought it up my stairs cause it was a heavy box. Putting together was very simple. It took me about a whole 40 minutes to put it together by myself, the chair itself was so comfortable literally between the leg rest and be able to recline all the way back. You could just fall asleep in the massaging pillow. Very nice touch. I am very very happy with this product.
  
"
"47","GTPLAYER Gaming Chair, Computer Chair with Footrest and Lumbar Support, Height Adjustable Game Chair with 360°-Swivel Seat and Headrest and for Office or Gaming (White)","Jaimie lapanne","5.0 out of 5 stars","April 2, 2024","







  
  
    Very very good quality at a very good price. My boyfriend loves it.
  
"
"48","GTPLAYER Gaming Chair, Computer Chair with Footrest and Lumbar Support, Height Adjustable Game Chair with 360°-Swivel Seat and Headrest and for Office or Gaming (White)","Zoe Phillips","5.0 out of 5 stars","April 3, 2024","







  
  
    Easy assemble really comfortable great for gaming
  
"
"49","GTPLAYER Gaming Chair, Computer Chair with Footrest and Lumbar Support, Height Adjustable Game Chair with 360°-Swivel Seat and Headrest and for Office or Gaming (White)","Dalton","4.0 out of 5 stars","December 31, 2023","







  
  
    I like the chair and it seems well built. I have only had it about a week so time will tell. I use this chair in my home office which doubles as my gaming room. I had a big comfortable office chair that this is replacing. I will say this gaming chair is not as comfortable as my office chair. It doesn't rock back, but the back is adjustable and the lumbar massage pillow is nice, but there is no control for it. It's on or off and always on full vibration. I am 6' tall and 200lb and I think if I was any bigger this chair wouldn't work for me. I think a little more padding in the seat would be a nice upgrade. Like I said time will tell do I will update this review after I have used it for some time.
  
"
"50","GTPLAYER Gaming Chair, Computer Chair with Footrest and Lumbar Support, Height Adjustable Game Chair with 360°-Swivel Seat and Headrest and for Office or Gaming (White)","Mr. Maurer","5.0 out of 5 stars","February 18, 2024","







  
  
    This is a fantastic gaming chair for the price! The seller shipped it promptly after I ordered ,and when I received it I was highly impressed by the ease of assembly. The instructions are the clearest I have ever seen among my furniture kits. It is so comfortable as well, with the lower back pillow supporting my back and helping with my posture. Not to mention, it is quite durable and sturdy so far, holding up great to my ADHD-fueled spinning and rolling across the floor. I would absolutely buy this again!
  
"
